rhyme_unit	syllables_after	family_size	representative	rep_zipf	spelling_variants	all_words
AA1 JH ER0 Z	1	6	rogers	4.09	rogers (4.1),  rogers' (4.1),  roger's (2.7)	rogers, rogers', dodgers, dodgers', rodgers, roger's
EH1 K T IH0 V Z	1	6	objectives	4.08	objectives (4.1)	objectives, perspectives, detectives, directives, electives, collectives
AY1 B ER0	1	6	fiber	4.06	fiber (4.1),  fibre (3.7)	fiber, cyber, fibre, subscriber, schreiber, tiber
AE1 D ER0	1	6	ladder	4.03	ladder (4.0)	ladder, bladder, bader, sadder, adder, madder
EY1 T OW0	1	6	nato	4.01	nato (4.0)	nato, plato, cato, kato, keto, soweto
IY1 L ER0 Z	1	6	dealers	4.01	dealers (4.0),  dealers' (4.0),  dealer's (2.6)	dealers, dealers', steelers, healers, dealer's, wheelers
IY1 V AH0 N Z	1	6	stevens	3.99	stevens (4.0),  stevens' (4.0),  stephen's (3.0)	stevens, stevens', stephens, stephen's, evens, steven's
AO1 R OW0	1	6	thorough	3.97	thorough (4.0),  morrow (3.4),  toro (3.2)	thorough, morrow, toro, oro, mauro, sapporo
IH1 L OW0	1	6	pillow	3.96	pillow (4.0),  castillo (3.1)	pillow, castillo, amarillo, armadillo, carrillo, murillo
AH1 SH IH0 NG	1	6	rushing	3.95	rushing (4.0)	rushing, crushing, brushing, flushing, blushing, gushing
IY1 G AH0 N	1	6	reagan	3.95	reagan (4.0),  seguin (2.6),  egon (2.6)	reagan, regan, egan, keegan, seguin, egon
EH1 T AH0 L Z	1	6	metals	3.95	metals (4.0),  metals' (4.0),  settles (3.4)	metals, metals', petals, settles, nettles, kettles
AW1 AH0 L	1	6	towel	3.94	towel (3.9),  powell (3.9)	towel, powell, bowel, howell, vowel, mcdowell
OW1 IY0	1	6	joey	3.92	joey (3.9),  chloe (3.8),  snowy (3.5)	joey, chloe, zoe, bowie, snowy, showy
IY1 AA0 N	1	6	leon	3.92	leon (3.9),  dionne (2.6),  gian (2.6)	leon, neon, eon, dionne, gian, deon
IH1 P SH AH0 N Z	1	6	descriptions	3.92	descriptions (3.9),  egyptians (3.5)	descriptions, egyptians, subscriptions, prescriptions, inscriptions, transcriptions
AA1 R S AH0 N	1	6	carson	3.91	carson (3.9),  larsen (3.1)	carson, arson, larson, larsen, larsson, parson
EH1 T R IH0 K	1	6	metric	3.88	metric (3.9)	metric, geometric, parametric, obstetric, barometric, econometric
AO1 R M ER0 Z	1	6	performers	3.88	performers (3.9),  performers' (3.9)	performers, performers', transformers, reformers, reformers', informers
AY1 P IH0 NG	1	6	typing	3.84	typing (3.8)	typing, wiping, piping, swiping, sniping, hyping
AE1 N ER0 Z	1	6	manners	3.83	manners (3.8),  planners' (3.5),  manors (2.7)	manners, banners, planners, planners', scanners, manors
AE1 N T IH0 NG	1	6	planting	3.81	planting (3.8)	planting, granting, chanting, enchanting, ranting, panting
IH1 N D AH0 L	1	6	kindle	3.81	kindle (3.8),  tyndall (2.5)	kindle, spindle, rekindle, swindle, dwindle, tyndall
IH1 NG ER0 Z	1	6	singers	3.81	singers (3.8),  singer's (3.0)	singers, left-wingers, right-wingers, wingers, singer's, swingers
AE1 N D R AH0	1	6	sandra	3.8	sandra (3.8)	sandra, alexandra, cassandra, chandra, alessandra, d'alessandra
IY1 Z ER0	1	6	caesar	3.8	caesar (3.8),  freezer (3.7)	caesar, freezer, teaser, cesar, ebenezer, pleaser
UW1 D AH0	1	6	buddha	3.79	buddha (3.8),  judah (3.4)	buddha, bermuda, judah, barracuda, garuda, huda
AE1 K ER0 Z	1	6	packers	3.78	packers (3.8)	packers, hackers, attackers, crackers, backers, trackers
IH1 JH IH0 T	1	6	digit	3.77	digit (3.8),  bridget (3.4),  brigitte (2.9)	digit, bridget, widget, brigitte, fidget, bridgette
AH1 M ER0 Z	1	6	summers	3.75	summers (3.8),  summer's (3.2)	summers, summer's, plumbers, somers, drummers, comers
OW1 N Y AH0	1	6	pneumonia	3.74	pneumonia (3.7)	pneumonia, sonia, ammonia, catalonia, sonya, sonja
AY1 T AH0 N D	1	6	frightened	3.74	frightened (3.7)	frightened, enlightened, heightened, tightened, brightened, lightened
AY1 P ER0	1	6	sniper	3.73	sniper (3.7)	sniper, hyper, piper, diaper, viper, wiper
IH1 NG G OW0	1	6	bingo	3.71	bingo (3.7)	bingo, domingo, flamingo, lingo, dingo, gringo
AY1 M ER0	1	6	old-timer	3.68	old-timer (3.7)	old-timer, timer, primer, climber, reimer, dimer
AE1 L AH0	1	6	gala	3.67	gala (3.7),  salah (3.2)	gala, salah, valhalla, ramallah, ocala, abdallah
AA1 L Y AH0	1	6	somalia	3.67	somalia (3.7)	somalia, natalia, genitalia, scalia, dalia, amalia
AO1 F M AH0 N	1	6	hoffman	3.66	hoffman (3.7),  hoffmann (2.9)	hoffman, kaufman, hoffmann, kauffman, kaufmann, coffman
OW1 L T AH0 N	1	6	bolton	3.65	bolton (3.6),  molten (3.3)	bolton, molten, colton, moulton, holton, knowlton
OW1 K OW0	1	6	cocoa	3.64	cocoa (3.6),  loco (3.2)	cocoa, loco, yoko, koko, kyoko, poco
AH1 M IY0	1	6	dummy	3.64	dummy (3.6)	dummy, mummy, yummy, tummy, gummy, crummy
AY1 Z ER0 Z	1	6	advisors	3.63	advisors (3.6),  advisers (3.6),  advisers' (3.6)	advisors, advisers, advisers', supervisors, geysers, incisors
EH1 N S AH0 N	1	6	benson	3.6	benson (3.6),  jensen (3.5),  ensign (3.3)	benson, jensen, ensign, henson, jenson, swenson
AH1 F IY0	1	6	fluffy	3.59	fluffy (3.6)	fluffy, buffy, duffy, puffy, stuffy, scruffy
AA1 CH IY0	1	6	karachi	3.59	karachi (3.6),  versace (3.0)	karachi, versace, hitachi, mariachi, fibonacci, saatchi
AA1 B AH0	1	6	baba	3.58	baba (3.6),  sabah (2.9)	baba, ababa, saba, sabah, gaba, addis-ababa
IH1 K AH0 L Z	1	6	nichols	3.58	nichols (3.6),  nichols' (3.6),  pickles (3.5),  nicholls (3.1),  nickels (2.8)	nichols, nichols', pickles, nicholls, tickles, nickels
EH1 M IH0 NG	1	6	fleming	3.56	fleming (3.6)	fleming, condemning, stemming, flemming, deming, hemming
AO1 S IY0	1	6	aussie	3.55	aussie (3.5),  glossy (3.4),  rossi (3.4),  saucy (2.9)	aussie, glossy, rossi, bossy, saucy, fauci
AA1 S AH0	1	6	casa	3.54	casa (3.5)	casa, asa, mombasa, kinshasa, masa, lhasa
AA1 N AH0 L	1	6	mcconnell	3.54	mcconnell (3.5),  periodontal (2.7)	mcconnell, o'donnell, o'connell, mcdonnell, connell, periodontal
AH1 F AH0 L	1	6	shuffle	3.49	shuffle (3.5),  duffel (2.7)	shuffle, truffle, reshuffle, ruffle, scuffle, duffel
AE1 K AH0	1	6	aca	3.48	aca (3.5)	aca, dhaka, malacca, alpaca, baca, vaca
OW1 D AH0 N	1	6	snowden	3.44	snowden (3.4),  odin (3.2),  snowdon (2.6)	snowden, odin, bowden, boden, snowdon, oden
IH1 L AH0 Z	1	6	villas	3.44	villas (3.4),  guerrillas' (3.1),  villa's (2.5)	villas, guerrillas, guerrillas', gorillas, casillas, villa's
AH1 K ER0 Z	1	6	fuckers	3.44	fuckers (3.4),  truckers' (3.0),  tucker's (2.5)	fuckers, motherfuckers, suckers, truckers, truckers', tucker's
IY1 M IY0	1	6	creamy	3.43	creamy (3.4),  mimi (3.3),  hajime (2.5)	creamy, mimi, dreamy, steamy, simi, hajime
IH1 NG K ER0	1	6	thinker	3.39	thinker (3.4)	thinker, tinker, drinker, sinker, linker, pinker
AE1 N AH0 S	1	6	janice	3.35	janice (3.4),  johannes (3.2),  mcmanus (3.0),  anas (2.7),  pianists (2.6)	janice, johannes, mcmanus, anas, anise, pianists
AA1 R G OW0	1	6	margot	3.32	margot (3.3),  embargo (3.3)	margot, embargo, margo, argo, key-largo, largo
EH1 V ER0 Z	1	6	endeavors	3.32	endeavors (3.3),  levers (3.1),  evers' (2.7),  whatever's (2.7)	endeavors, levers, evers, evers', whatever's, whoever's
IY1 N AH0 Z	1	6	arenas	3.28	arenas (3.3),  salinas' (2.9),  argentina's (2.8)	arenas, salinas, salinas', subpoenas, hyenas, argentina's
AH1 T ER0 Z	1	6	cutters	3.28	cutters (3.3)	cutters, shutters, butters, gutters, mutters, stutters
UW1 Z IY0	1	6	susie	3.24	susie (3.2),  suzy (3.1),  uzi (3.0),  boozy (2.5),  choosy (2.5)	susie, suzy, uzi, jacuzzi, boozy, choosy
IY1 CH IY0	1	6	nietzsche	3.23	nietzsche (3.2),  ricci (2.9),  peachy (2.9)	nietzsche, ricci, peachy, ichi, koichi, beachy
UW1 M AH0	1	6	puma	3.22	puma (3.2)	puma, duma, uma, yuma, summa, montezuma
AA1 R L AH0 N	1	6	marlon	3.21	marlon (3.2),  harlan (3.2),  marlin (3.0),  macfarlane (3.0),  arlen (2.5)	marlon, harlan, marlin, macfarlane, mcfarlane, arlen
AA1 W AH0	1	6	chihuahua	3.21	chihuahua (3.2)	chihuahua, okinawa, kagawa, ishikawa, ozawa, kurosawa
OW1 B OW0	1	6	robo	3.09	robo (3.1),  oboe (2.7)	robo, hobo, bobo, lobo, oboe, globo
AH1 M B AH0 L Z	1	6	stumbles	3.03	stumbles (3.0)	stumbles, fumbles, crumbles, mumbles, rumbles, tumbles
AE1 F T ER0	1	5	after	6.11	after (6.1)	after, laughter, thereafter, hereafter, rafter
IH1 D AH0 N	1	5	didn't	5.68	didn't (5.7),  hidden (4.5)	didn't, hidden, forbidden, ridden, overridden
AH1 M B ER0	1	5	number	5.62	number (5.6)	number, lumber, slumber, outnumber, humber
AO1 R D ER0	1	5	order	5.49	order (5.5)	order, border, disorder, recorder, boarder
ER1 V IH0 S	1	5	service	5.49	service (5.5),  reservists (2.8),  jervis (2.7)	service, reservists, jervis, purvis, foodservice
IY1 Z AH0 N	1	5	season	5.48	season (5.5)	season, reason, treason, gleeson, midseason
ER1 K IH0 NG	1	5	working	5.45	working (5.5)	working, lurking, jerking, reworking, smirking
IH1 Z AH0 N	1	5	isn't	5.41	isn't (5.4),  prison (4.8),  risen (3.9)	isn't, prison, risen, arisen, imprison
EH1 V AH0 L	1	5	level	5.41	level (5.4),  devil (4.3)	level, devil, revel, bevel, multilevel
AA1 R T AH0 D	1	5	started	5.39	started (5.4)	started, departed, hearted, parted, charted
IH1 R IY0 Z	1	5	series	5.35	series (5.3),  series' (5.3)	series, series', theories, queries, ceres
EH1 M B ER0 Z	1	5	members	5.35	members (5.3),  members' (5.3),  member's (3.1)	members, members', remembers, member's, embers
AO1 R N IH0 NG	1	5	morning	5.33	morning (5.3)	morning, warning, mourning, corning, adorning
AY1 N AH0 L	1	5	final	5.28	final (5.3),  vinyl (4.0)	final, vinyl, spinal, vaginal, semifinal
AA1 K T ER0	1	5	dr	5.24	dr (5.2),  dr. (5.2),  doctor (4.9),  procter (2.9)	dr, dr., doctor, proctor, procter
AA1 M AH0 N	1	5	common	5.2	common (5.2),  rahman (3.3)	common, uncommon, rahman, raman, aman
AW1 N IY0	1	5	county	5.19	county (5.2),  downey (3.2),  brownie (3.2),  downy (2.6)	county, downey, brownie, downy, downie
ER1 T AH0 N	1	5	certain	5.16	certain (5.2),  burton (3.8)	certain, uncertain, curtain, burton, merton
EY1 N JH IH0 Z	1	5	changes	5.12	changes (5.1),  exchanges' (4.0)	changes, ranges, exchanges', exchanges, arranges
AY1 K AH0 L	1	5	michael	5.08	michael (5.1),  cycle (4.6),  micheal (2.8)	michael, cycle, michel, recycle, micheal
EY1 L Y AH0	1	5	australia	5.06	australia (5.1)	australia, azalea, paraphernalia, regalia, thalia
UW1 D AH0 D	1	5	included	5.03	included (5.0)	included, concluded, excluded, alluded, extruded
AO1 R M AH0 L	1	5	normal	5.01	normal (5.0)	normal, formal, informal, abnormal, paranormal
EH1 S T ER0 N	1	5	western	5.01	western (5.0)	western, best-western, northwestern, southwestern, midwestern
AH1 SH AH0 N	1	5	russian	5.01	russian (5.0),  discussion (4.7)	russian, discussion, concussion, percussion, prussian
AY1 L AH0 N D	1	5	island	5.01	island (5.0)	island, long-island, rhode-island, highland, hyland
IY1 T L IY0	1	5	completely	5.0	completely (5.0),  neatly (3.5),  discreetly (3.0),  wheatley (2.9)	completely, neatly, discreetly, sweetly, wheatley
OW1 S T IH0 D	1	5	posted	4.97	posted (5.0)	posted, hosted, roasted, toasted, boasted
EH1 V AH0 L Z	1	5	levels	4.97	levels (5.0),  devils (3.8),  devils' (3.8),  devil's (3.6)	levels, devils, devils', devil's, revels
EH1 V IY0	1	5	heavy	4.96	heavy (5.0),  levy (3.9),  levee (2.8)	heavy, levy, chevy, levee, bevy
IY1 D ER0	1	5	leader	4.95	leader (5.0),  cedar (3.8)	leader, reader, cedar, feeder, breeder
IH1 N Y AH0 N	1	5	opinion	4.94	opinion (4.9),  virginian (2.7)	opinion, dominion, minion, virginian, pinion
ER1 SH AH0 L	1	5	commercial	4.92	commercial (4.9),  herschel (2.9)	commercial, controversial, inertial, herschel, noncommercial
AE1 R IY0	1	5	carry	4.89	carry (4.9),  gary (4.4),  barrie (3.1)	carry, gary, barry, garry, barrie
UH1 L IY0	1	5	fully	4.89	fully (4.9),  woolly (3.0),  pulley (2.9)	fully, bully, woolly, pulley, woolley
EH1 K S AH0 S	1	5	texas	4.89	texas (4.9),  texas' (4.9),  nexus (3.6)	texas, texas', nexus, lexus, plexus
IH1 N T ER0	1	5	winter	4.89	winter (4.9)	winter, printer, splinter, sprinter, midwinter
UW1 S AH0 Z	1	5	uses	4.88	uses (4.9),  bruce's (2.8)	uses, produces, reduces, juices, bruce's
AA1 F IY0	1	5	coffee	4.86	coffee (4.9),  coffey (2.9),  rafi (2.6)	coffee, toffee, coffey, rafi, sofie
EH1 S M AH0 N T	1	5	investment	4.84	investment (4.8)	investment, assessment, reinvestment, divestment, reassessment
AO1 R S AH0 Z	1	5	sources	4.84	sources (4.8),  sources' (4.8),  horse's (3.1)	sources, sources', courses, horses, horse's
IY1 AH0 Z	1	5	ideas	4.84	ideas (4.8),  korea's (3.4)	ideas, korea's, tortillas, maria's, garcia's
IY1 R IH0 NG	1	5	hearing	4.82	hearing (4.8)	hearing, disappearing, endearing, earring, peering
AA1 L ER0 Z	1	5	dollars	4.78	dollars (4.8),  dollars' (4.8),  controllers' (3.7)	dollars, dollars', scholars, controllers', collars
AA1 R D AH0 N	1	5	garden	4.77	garden (4.8),  pardon (3.8)	garden, pardon, harden, arden, darden
AW1 Z IH0 NG	1	5	housing	4.77	housing (4.8)	housing, browsing, rousing, arousing, espousing
AA1 P IY0	1	5	copy	4.77	copy (4.8),  poppy (3.6)	copy, poppy, sloppy, floppy, choppy
AE1 P AH0 L	1	5	apple	4.76	apple (4.8),  chapel (4.0),  chappell (2.9)	apple, chapel, grapple, chappell, appel
IH1 Z IY0	1	5	busy	4.75	busy (4.8),  dizzy (3.4),  lizzie (3.3)	busy, dizzy, lizzie, izzy, lizzy
OW1 Z ER0	1	5	closer	4.73	closer (4.7)	closer, composer, bowser, moser, poser
AW1 S IH0 Z	1	5	houses	4.72	houses (4.7),  houses' (4.7),  house's (3.2)	houses, houses', spouses, house's, blouses
AE1 K T ER0	1	5	factor	4.67	factor (4.7),  akhtar (2.6)	factor, actor, reactor, tractor, akhtar
OW1 L D AH0 N	1	5	golden	4.67	golden (4.7)	golden, holden, olden, beholden, bolden
EH1 T ER0 Z	1	5	letters	4.66	letters (4.7),  debtors (3.0),  debtors' (3.0)	letters, sweaters, debtors, debtors', setters
AE1 P T ER0	1	5	chapter	4.65	chapter (4.7),  raptor (3.1)	chapter, adapter, raptor, adaptor, captor
ER1 B AH0 N	1	5	urban	4.65	urban (4.7),  bourbon (3.6)	urban, suburban, bourbon, durban, turban
EH1 ZH ER0	1	5	measure	4.65	measure (4.7)	measure, pleasure, treasure, leisure, displeasure
OW1 N ER0 Z	1	5	owners	4.65	owners (4.7),  owners' (4.7),  donors (3.8),  donors' (3.8),  owner's (3.3)	owners, owners', donors, donors', owner's
EY1 D IY0 Z	1	5	ladies	4.64	ladies (4.6),  lady's (3.3)	ladies, mercedes, lady's, hades, brady's
IH1 K AH0 N	1	5	chicken	4.63	chicken (4.6),  wiccan (2.6)	chicken, stricken, quicken, thicken, wiccan
EY1 JH AH0 Z	1	5	pages	4.62	pages (4.6)	pages, ages, stages, wages, gauges
AW1 IH0 NG	1	5	allowing	4.62	allowing (4.6)	allowing, bowing, mowing, plowing, vowing
IH1 K IH0 T	1	5	ticket	4.61	ticket (4.6),  pickett (2.9)	ticket, cricket, picket, pickett, thicket
AE1 N IH0 D	1	5	granted	4.61	granted (4.6)	granted, planted, enchanted, slanted, disenchanted
AE1 N S ER0 Z	1	5	answers	4.6	answers (4.6),  dancers' (3.9)	answers, dancers, dancers', cancers, lancers
EY1 N M AH0 N T	1	5	entertainment	4.6	entertainment (4.6)	entertainment, containment, attainment, arraignment, infotainment
EH1 N D AH0 N S	1	5	independence	4.58	independence (4.6)	independence, attendance, dependence, transcendence, interdependence
EH1 V IH0 N	1	5	kevin	4.56	kevin (4.6)	kevin, levin, devin, bevin, nevin
AH1 T AH0 N	1	5	button	4.56	button (4.6)	button, sutton, hutton, dutton, mutton
AY1 V ER0 Z	1	5	drivers	4.56	drivers (4.6),  drivers' (4.6),  survivors (4.1),  driver's (3.8)	drivers, drivers', survivors, driver's, divers
ER1 K IY0	1	5	turkey	4.56	turkey (4.6),  quirky (3.5),  murky (3.1),  jerky (3.1)	turkey, quirky, murky, jerky, perky
EH1 D AH0 D	1	5	headed	4.55	headed (4.5)	headed, shredded, threaded, wedded, unleaded
UH1 R L IY0	1	5	surely	4.55	surely (4.5),  poorly (4.1)	surely, poorly, purely, prematurely, securely
AO1 R D AH0 N	1	5	jordan	4.51	jordan (4.5),  gordon (4.4),  warden (3.6)	jordan, gordon, warden, cordon, borden
EH1 M IY0	1	5	semi	4.51	semi (4.5),  emmy (3.7),  remy (3.3)	semi, emmy, demi, remy, remi
EH1 R L IY0	1	5	fairly	4.5	fairly (4.5),  barely (4.5)	fairly, barely, rarely, unfairly, squarely
AE1 N T AH0	1	5	santa	4.49	santa (4.5),  santa's (2.9)	santa, atlanta, santa's, manta, atalanta
AA1 N IH0 NG	1	5	wanting	4.49	wanting (4.5)	wanting, spawning, donning, awning, conning
AA1 L V IH0 NG	1	5	involving	4.48	involving (4.5)	involving, solving, evolving, resolving, revolving
OY1 N IH0 NG	1	5	joining	4.47	joining (4.5)	joining, disappointing, adjoining, rejoining, coining
AO1 T AH0 N	1	5	gotten	4.47	gotten (4.5),  cotton (4.3)	gotten, cotton, houghton, lawton, broughton
AA1 T AH0 N	1	5	gotten	4.47	gotten (4.5),  cotton (4.3)	gotten, forgotten, cotton, rotten, groton
EY1 S AH0 N	1	5	jason	4.46	jason (4.5),  basin (4.1),  hasten (2.9)	jason, mason, basin, grayson, hasten
AW1 N D ER0	1	5	founder	4.46	founder (4.5)	founder, rounder, pounder, flounder, cofounder
AH1 F ER0	1	5	suffer	4.45	suffer (4.5)	suffer, buffer, tougher, rougher, puffer
AO1 T ER0 Z	1	5	waters	4.45	waters (4.5),  daughters' (4.3),  daughter's (3.8)	waters, daughters, daughters', daughter's, water's
AY1 V AH0 L	1	5	arrival	4.44	arrival (4.4)	arrival, survival, rival, revival, archival
EY1 V IH0 NG Z	1	5	savings	4.44	savings (4.4),  savings' (4.4)	savings, savings', cravings, engravings, shavings
IH1 S T ER0 Z	1	5	sisters	4.43	sisters (4.4),  sister's (3.6),  transistors (3.1)	sisters, sister's, blisters, transistors, resistors
AO1 R ER0	1	5	horror	4.43	horror (4.4),  explorer (3.9)	horror, explorer, scorer, maurer, borer
EH1 K IH0 NG	1	5	checking	4.43	checking (4.4)	checking, wrecking, trekking, pecking, decking
AH1 N T IH0 NG	1	5	hunting	4.42	hunting (4.4)	hunting, confronting, bunting, fronting, grunting
EH1 N ER0 Z	1	5	centers	4.42	centers (4.4),  centers' (4.4),  center's (3.2)	centers, centers', enters, center's, dissenters
OY1 ER0 Z	1	5	lawyers	4.39	lawyers (4.4),  employers' (4.2),  employer's (2.8)	lawyers, employers, employers', destroyers, employer's
AE1 N AH0 L Z	1	5	channels	4.38	channels (4.4),  panels' (4.1),  annals (3.4),  channel's (2.9)	channels, panels, panels', annals, channel's
AA1 JH IH0 K	1	5	logic	4.36	logic (4.4),  tajik (2.7)	logic, geologic, tajik, biologic, neurologic
AE1 N S IY0	1	5	fancy	4.35	fancy (4.3),  fiancee (3.2),  yancey (2.5)	fancy, nancy, fiancee, clancy, yancey
IH1 R OW0 Z	1	5	heroes	4.35	heroes (4.3),  hero's (3.2),  zeros (3.1)	heroes, hero's, zeros, heros, zeroes
EH1 S T ER0 Z	1	5	investors	4.34	investors (4.3),  investors' (4.3),  testers (3.0)	investors, investors', testers, semesters, esters
IH1 P AH0 L	1	5	triple	4.31	triple (4.3)	triple, nipple, ripple, cripple, whipple
AW1 N T IH0 NG	1	5	accounting	4.29	accounting (4.3)	accounting, counting, mounting, amounting, recounting
AH1 SH AH0 N Z	1	5	discussions	4.28	discussions (4.3),  russians (4.2),  russians' (4.2)	discussions, russians, russians', repercussions, concussions
ER1 CH IH0 Z	1	5	churches	4.27	churches (4.3),  churches' (4.3)	churches, churches', searches, researches, perches
EH1 S AH0 L	1	5	vessel	4.27	vessel (4.3),  wrestle (3.5)	vessel, wrestle, nestle, kessel, trestle
AE1 D AH0 M Z	1	5	adams	4.25	adams (4.2),  adams' (4.2),  adam's (3.2)	adams, adams', adam's, addams, mcadams
UW1 N ER0	1	5	sooner	4.25	sooner (4.2),  lunar (3.8)	sooner, lunar, schooner, tuner, spooner
AA1 R SH AH0 L	1	5	marshall	4.24	marshall (4.2),  partial (4.2)	marshall, partial, martial, marshal, impartial
AA1 R K ER0	1	5	parker	4.23	parker (4.2)	parker, darker, marker, barker, harker
EH1 N T L IY0	1	5	differently	4.23	differently (4.2),  bentley (3.6),  incidentally (3.5)	differently, gently, bentley, incidentally, intently
AY1 B IH0 NG	1	5	describing	4.23	describing (4.2)	describing, prescribing, subscribing, bribing, transcribing
EH1 M AH0	1	5	emma	4.23	emma (4.2),  lemme (3.2)	emma, dilemma, gemma, lemme, lemma
EH1 V AH0 N Z	1	5	evans	4.22	evans (4.2),  evans' (4.2),  heavens (3.7),  heaven's (3.1)	evans, evans', heavens, sevens, heaven's
ER1 M AH0 N Z	1	5	germans	4.2	germans (4.2),  germans' (4.2),  determines (3.8),  sermons (3.4),  sherman's (2.5)	germans, germans', determines, sermons, sherman's
UH1 R IH0 S T	1	5	tourist	4.2	tourist (4.2),  poorest (3.5)	tourist, poorest, jurist, surest, purist
IH1 P IY0	1	5	mississippi	4.19	mississippi (4.2),  hippie (3.4),  skippy (2.7)	mississippi, hippie, skippy, chippy, zippy
AH1 N ER0	1	5	runner	4.18	runner (4.2),  gunnar (3.0)	runner, gunner, gunnar, stunner, brunner
IH1 K T ER0	1	5	victor	4.18	victor (4.2),  stricter (3.2)	victor, viktor, stricter, richter, predictor
AE1 R AH0 L	1	5	barrel	4.17	barrel (4.2),  carol (4.0),  carroll (3.8),  carole (3.3)	barrel, carol, carroll, apparel, carole
AY1 L ER0	1	5	tyler	4.17	tyler (4.2),  pilar (2.8)	tyler, compiler, schuyler, pilar, miler
IY1 CH AH0 Z	1	5	reaches	4.16	reaches (4.2)	reaches, beaches, teaches, speeches, peaches
UW1 V ER0	1	5	vancouver	4.16	vancouver (4.2)	vancouver, hoover, maneuver, mover, remover
AE1 T IH0 K S	1	5	mathematics	4.15	mathematics (4.2)	mathematics, fanatics, informatics, acrobatics, systematics
EH1 N CH ER0 Z	1	5	adventures	4.15	adventures (4.2),  ventures' (3.8)	adventures, ventures, ventures', dentures, misadventures
AO1 R M AH0 N	1	5	norman	4.14	norman (4.1),  mormon (3.7)	norman, mormon, foreman, gorman, dorman
AE1 N IH0 K S	1	5	mechanics	4.13	mechanics (4.1),  mechanics' (4.1)	mechanics, mechanics', hispanics, panics, organics
AE1 TH R IH0 N	1	5	catherine	4.11	catherine (4.1),  kathryn (3.5)	catherine, katherine, kathryn, katharine, catharine
AY1 T IY0	1	5	mighty	4.1	mighty (4.1),  whitey (2.9),  aphrodite (2.9)	mighty, almighty, whitey, aphrodite, righty
EH1 M AH0 N	1	5	lemon	4.1	lemon (4.1),  yemen (3.9),  rehman (2.6)	lemon, yemen, bremen, rehman, lemmon
IH1 F T IH0 D	1	5	lifted	4.1	lifted (4.1)	lifted, shifted, gifted, drifted, sifted
EY1 T AH0 L	1	5	fatal	4.1	fatal (4.1)	fatal, natal, prenatal, neonatal, postnatal
AA1 R IH0 NG	1	5	starring	4.08	starring (4.1)	starring, barring, sparring, scarring, jarring
AO1 R N ER0 Z	1	5	corners	4.06	corners (4.1),  foreigners' (3.9),  warner's (2.5)	corners, foreigners, foreigners', mourners, warner's
IH1 F T IH0 NG	1	5	lifting	4.06	lifting (4.1)	lifting, shifting, drifting, gifting, sifting
AO1 L AH0 S	1	5	wallace	4.05	wallace (4.0),  flawless (3.6),  cornwallis (2.6),  paulus (2.5)	wallace, flawless, lawless, cornwallis, paulus
EY1 Z AH0 Z	1	5	raises	4.05	raises (4.0)	raises, phrases, phases, praises, gazes
AE1 N D OW0	1	5	orlando	4.04	orlando (4.0)	orlando, fernando, brando, lando, ando
EH1 S IY0	1	5	jesse	4.04	jesse (4.0),  messy (3.9)	jesse, messy, jessie, bessie, essie
ER1 M AH0 L	1	5	thermal	4.04	thermal (4.0)	thermal, geothermal, dermal, hydrothermal, epidermal
AY1 S IH0 NG	1	5	pricing	4.04	pricing (4.0)	pricing, icing, slicing, enticing, splicing
EH1 S AH0 N S	1	5	essence	4.03	essence (4.0)	essence, adolescence, obsolescence, luminescence, senescence
EH1 R AH0 L D	1	5	harold	4.03	harold (4.0),  herald (4.0),  barreled (2.6)	harold, herald, gerald, fitzgerald, barreled
IY1 G ER0	1	5	eager	4.03	eager (4.0)	eager, meager, seeger, krieger, seager
IH1 L IH0 P S	1	5	phillips	4.03	phillips (4.0),  phillips' (4.0),  philip's (2.5)	phillips, phillips', philips, philips', philip's
AE1 NG K ER0	1	5	anchor	4.02	anchor (4.0),  banker (3.8)	anchor, banker, tanker, anker, rancor
AE1 M AH0 N	1	5	salmon	4.01	salmon (4.0),  famine (3.6),  salman (3.3)	salmon, famine, salman, amman, gammon
ER1 N IY0 Z	1	5	attorneys	4.01	attorneys (4.0),  attorneys' (4.0),  attorney's (3.3),  bernie's (2.7)	attorneys, attorneys', journeys, attorney's, bernie's
ER1 OW0	1	5	thorough	3.97	thorough (4.0),  burrow (3.1),  pero (2.8)	thorough, burrow, pero, boro, furrow
EH1 M B AH0 L D	1	5	assembled	3.96	assembled (4.0)	assembled, resembled, disassembled, reassembled, trembled
EH1 K AH0	1	5	rebecca	3.96	rebecca (4.0)	rebecca, mecca, becca, tribeca, decca
UW1 L ER0	1	5	cooler	3.96	cooler (4.0)	cooler, ruler, mueller, jeweler, schooler
IH1 S AH0 L Z	1	5	missiles	3.95	missiles (4.0),  missiles' (4.0),  dismissals (2.7)	missiles, missiles', whistles, bristles, dismissals
AW1 N S IH0 Z	1	5	announces	3.94	announces (3.9)	announces, ounces, bounces, denounces, pronounces
UW1 T AH0 N	1	5	newton	3.94	newton (3.9),  gluten (3.6)	newton, gluten, vuitton, luton, wootton
EY1 L AH0	1	5	venezuela	3.93	venezuela (3.9)	venezuela, gala, ala, kayla, manuela
AA1 R K OW0	1	5	marco	3.92	marco (3.9)	marco, marko, demarco, narco, arco
AE1 R AH0 N	1	5	sharon	3.92	sharon (3.9),  barren (3.4)	sharon, baron, barren, barron, mccarron
