rhyme_unit	syllables_after	family_size	representative	rep_zipf	spelling_variants	all_words
AW1 N IH0 D	1	3	mounted	4.26	mounted (4.3)	mounted, counted, amounted
AA1 N D IH0 D	1	3	responded	4.26	responded (4.3)	responded, bonded, corresponded
AA1 DH ER0 Z	1	3	father's	4.26	father's (4.3),  fathers (4.1)	father's, fathers, bothers
AE1 L F AH0	1	3	alpha	4.25	alpha (4.2)	alpha, alfa, alfalfa
EY1 N JH M AH0 N T	1	3	arrangement	4.25	arrangement (4.2)	arrangement, rearrangement, estrangement
AY1 R IY0	1	3	inquiry	4.25	inquiry (4.2),  diary (4.1)	inquiry, diary, expiry
AW1 N T IY0 Z	1	3	counties	4.24	counties (4.2),  county's (3.4)	counties, county's, bounties
AW1 N IY0 Z	1	3	counties	4.24	counties (4.2),  county's (3.4)	counties, county's, brownies
AE1 R IY0 Z	1	3	carries	4.23	carries (4.2),  barry's (2.9),  gary's (2.7)	carries, barry's, gary's
IY1 G AH0 L Z	1	3	eagles	4.22	eagles (4.2),  illegals (3.1),  eagle's (2.6)	eagles, illegals, eagle's
AY1 L AY2 T	1	3	highlight	4.21	highlight (4.2)	highlight, twilight, skylight
AE1 S AH0	1	3	nasa	4.21	nasa (4.2)	nasa, massa, kinshasa
EY1 AO2 F S	1	3	playoffs	4.21	playoffs (4.2)	playoffs, layoffs, payoffs
OY1 N T IH0 NG	1	3	pointing	4.2	pointing (4.2)	pointing, disappointing, appointing
AY1 S L IY0	1	3	precisely	4.2	precisely (4.2)	precisely, nicely, concisely
AH1 L CH ER0 Z	1	3	cultures	4.2	cultures (4.2),  culture's (2.5)	cultures, vultures, culture's
UH1 R AH0 S T	1	3	tourist	4.2	tourist (4.2),  purest (3.2)	tourist, purest, jurist
EH1 R L AY2 N Z	1	3	airlines	4.19	airlines (4.2),  airlines' (4.2),  airline's (2.7)	airlines, airlines', airline's
OW1 S T ER0	1	3	poster	4.19	poster (4.2)	poster, coaster, toaster
AH1 L ER0 D	1	3	colored	4.19	colored (4.2)	colored, coloured, multicolored
AY1 T M AH0 N T	1	3	excitement	4.19	excitement (4.2)	excitement, indictment, incitement
AE1 K S IY0	1	3	taxi	4.19	taxi (4.2),  waxy (2.7)	taxi, maxi, waxy
EY1 S T IH0 D	1	3	wasted	4.19	wasted (4.2)	wasted, tasted, pasted
IY1 K N AH0 S	1	3	weakness	4.19	weakness (4.2)	weakness, uniqueness, preakness
EH1 P T IH0 NG	1	3	accepting	4.18	accepting (4.2)	accepting, excepting, intercepting
EY1 S IY0 Z	1	3	bases	4.18	bases (4.2),  macy's (3.2),  casey's (2.6)	bases, macy's, casey's
AE1 T AH0 L Z	1	3	battles	4.18	battles (4.2),  seattle's (3.0)	battles, seattle's, rattles
AE1 N S AH0 L	1	3	cancel	4.18	cancel (4.2),  mansell (2.5)	cancel, hansel, mansell
AA1 N SH AH0 S	1	3	conscious	4.18	conscious (4.2)	conscious, unconscious, subconscious
OW1 F IY0	1	3	trophy	4.17	trophy (4.2),  sophie (3.9),  kofi (3.0)	trophy, sophie, kofi
AA1 B ER0 T S	1	3	roberts	4.16	roberts (4.2),  roberts' (4.2),  robert's (3.0)	roberts, roberts', robert's
IY1 N Y AH0 N T	1	3	convenient	4.15	convenient (4.2)	convenient, inconvenient, lenient
AA1 R V IY0	1	3	harvey	4.15	harvey (4.2),  larvae (3.6)	harvey, larvae, garvey
AY1 G ER0 Z	1	3	tigers	4.15	tigers (4.2),  tigers' (4.2),  tiger's (2.8)	tigers, tigers', tiger's
